2026-01-18 01:44:11,837 | INFO  | Thread-20 (run) | solace_agent_mesh.services.platform.component | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Attempting to start FastAPI/Uvicorn server...
2026-01-18 01:44:11,838 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | Loaded 7 tools from built-in group: artifact_management
2026-01-18 01:44:11,838 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  [_start_listener] Attempting to start FastAPI/Uvicorn server...
2026-01-18 01:44:11,838 | INFO  | Thread-20 (run) | solace_agent_mesh.services.platform.api.main | Initializing Platform Service dependencies...
2026-01-18 01:44:11,838 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | Loaded 1 tools from built-in group: data_analysis
2026-01-18 01:44:11,838 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.dependencies | SAC Component instance provided.
2026-01-18 01:44:11,839 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Implicitly loaded internal framework tool: _notify_artifact_save
2026-01-18 01:44:11,839 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | CORSMiddleware added with origins: ['http://localhost:3000', 'http://127.0.0.1:3000']
2026-01-18 01:44:11,839 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | SessionMiddleware added.
2026-01-18 01:44:11,839 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Implicitly loaded internal framework tool: _continue_generation
2026-01-18 01:44:11,840 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | OAuth middleware added (development mode - community/dev user)
2026-01-18 01:44:11,840 | INFO  | Thread-20 (run) | solace_agent_mesh.services.platform.api.dependencies | Platform component instance provided.
2026-01-18 01:44:11,840 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Finished loading tools. Total tools for ADK: 10. Total SAM built-ins for prompt: 10. Total cleanup hooks: 0. Peer tools added dynamically.
2026-01-18 01:44:11,866 | INFO  | Thread-20 (run) | solace_agent_mesh.services.platform.api.main | FRONTEND_SERVER_URL not configured, auto-constructed from WebUI Gateway settings: http://localhost:8000
2026-01-18 01:44:11,879 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing ADK Agent/Runner asynchronously in dedicated thread...
2026-01-18 01:44:11,903 | INFO  | Thread-20 (run) | solace_agent_mesh.services.platform.api.main | CORS middleware added with origins: ['http://127.0.0.1:3000', 'http://127.0.0.1:8001', 'http://localhost:3000', 'http://localhost:8000']
2026-01-18 01:44:11,905 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | Legacy routers mounted for endpoints not yet migrated
2026-01-18 01:44:11,905 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing ADK Agent 'OrchestratorAgent' (Peer tools & instructions added via callback)...
2026-01-18 01:44:11,905 | INFO  | Thread-20 (run) | solace_agent_mesh.services.platform.api.main |   Auto-added trusted origins: ['http://localhost:8000', 'http://127.0.0.1:8001']
2026-01-18 01:44:11,905 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | Registered shared exception handlers
